Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,
408,green turtle raw,25,0.1,0.015,0.093,0.074,0,0,5.6,0,14.2,0.099,22.2,0.089,0.024,0.087,0.019,0.084,0.3,0,0.088,0,0,0.1,0.081,33.4,0.08,0.4,5.7,0,50.9,65.1,0.035,0.3,39.567,
409,ground bison cooked,448,21.6,8.7,8.2,1,0,0,63.6,0,177.5,0.2,162.7,0,0.3,0.015,0.006,0.7,14.9,0,1,0,0,0.5,0.011,35,0.4,8,57.5,0,532.5,882.5,0.006,13.4,128.2,
410,goat meat raw,494,10.5,3.2,4.7,0.8,0,0,93.4,0,258.6,0.4,344,0,0.5,0.084,0.03,2.2,17,0,0,0,0,0,0,59,1.2,12.8,0,0.2,816.5,1746.4,0.01,18.1,175.7,
411,ground emu raw,157,4.7,1.2,1.9,0.7,0,0,26.6,0,80.7,0.062,85.3,0,0.3,0.073,0.051,0.5,8.8,3.2,0.8,0,0,0.3,0,8.2,0.2,4.7,28.1,0.02,259.7,374.4,0.061,4.1,44.2,
412,ground ostrich raw,180,9.5,2.4,2.9,1,0,0,22,0,77.4,0.021,77.5,0,0.2,0.071,0.032,0.3,4.8,1.2,0.5,0,0,0.3,0,7.6,0.1,3.2,21.8,0.025,216.9,317.2,0.067,3.8,42.3,
413,ostrich tip cooked,123,2.2,0.9,0.8,0.4,0,0,24.2,0,72.3,0.086,58.2,0,0.2,0.02,0.077,0.2,6.1,1.1,0.5,0,0,0.2,0,5.1,0.1,2.4,21.3,0.013,213.4,307.7,0.019,4.1,33.9,
414,caribou cooked,210,6.4,2.5,2,1,0,0,38,0,141.2,0.004,86.4,0.1,0.4,0.055,0.032,1.1,7.8,2,0.5,0,0,1.2,0.009,6.6,0.4,6.3,31.7,0.049,283.8,323.4,0.073,5.7,57.4,
415,ground ostrich cooked,163,6.6,1.7,2,0.7,0,0,24.3,0,77.2,0.099,62.4,0.2,0,0.2,0.045,0.044,0.2,6.1,1.1,0.5,0,0.033,0.2,0,7.4,0.1,3.2,21.4,0.076,208.3,300.4,0.033,31.712,
416,ostrich leg cooked,120,1.6,0.6,0.6,0.3,0,0,24.7,0,62.1,0.016,59.5,0,0.2,0.074,0.023,0.3,6.2,1.1,0.5,0,0,0.2,0,5.1,0.1,2.7,21.3,0.035,207.4,299.2,0.05,4,34.1,
417,ostrich top loin cooked,132,3.3,1.1,1.1,0.3,0,0,23.9,0,79.1,0.029,57.8,0.1,0,0.2,0.082,0.062,0.2,6,1.1,0.5,0,0,0.2,0.046,5.1,0.1,2.8,21.3,0.075,208.3,300.1,0.017,27.982,
418,ostrich strip cooked,139,3.6,1.5,1.5,0.6,0,0,25,0,82.5,0.034,56.6,0,0.2,0.012,0.081,0.3,6.3,1.2,0.5,0,0,0.2,0,4.3,0.1,4.1,22.1,0.013,215.1,311.1,0.018,4.2,37,
419,ostrich tip raw,97,2,0.7,0.7,0.4,0,0,18.6,0,61.2,0.041,64.7,0,0.2,0.099,0.017,0.2,4,1,0.4,0,0,0.2,0,4.3,0.1,2.4,18.7,0.034,181.1,263.5,0.033,3.2,27.3,
420,ostrich round raw,99,2,0.7,0.7,0.4,0,0,18.7,0,60.4,0.074,64.3,0,0.2,0.087,0.012,0.2,4,1,0.4,0,0,0.2,0,4.3,0.1,3,18.7,0.018,183.6,267.8,0.073,3.2,28,
421,ground bison raw,124,6.1,2.5,2.3,0.3,0.099,0,17.2,0,46.8,0.042,60.9,0,0.1,0.02,0.008,0.2,4.5,0,0.3,0,0,0.2,0.023,9.4,0.1,2.4,17.9,0,164.9,278.8,0.014,3.9,35.102,
422,ostrich fan raw,99,2.3,0.8,0.8,0.4,0,0,18.5,0,62.1,0.04,64.5,0,0.2,0.045,0.09,0.2,4,1,0.4,0,0,0.2,0,5.1,0.1,3.7,18.7,0.018,179.4,261.8,0.003,3.2,29.6,
423,ostrich top loin raw,101,2.5,1,0.9,0.5,0,0,18.4,0,63.8,0.073,64,0,0.2,0.042,0.032,0.2,4,1,0.4,0,0,0.2,0,5.1,0.1,2.7,18.7,0.082,181.9,265.2,0.099,3.2,28.7,
424,veal brain cooked,461,32.6,7.4,5.9,5.1,0,0,38.9,0,10509,0.5,260.7,0,0.3,0.024,0.084,0.7,8.2,3.4,0.6,44.1,0,0,0,54.2,0.9,5.7,54.2,0.1,1305.2,725.5,0.055,5.5,175.5,
425,veal tongue cooked,515,25.8,11.1,11.8,1,0,0,65.9,0,606.9,0.2,163.4,0,0.2,0.098,0.016,0.9,3.7,1.9,0.4,15.3,0,0,0,23,0.5,5.3,45.9,0.1,423.3,413.1,0.016,11.5,135.3,
426,beef heart cooked,47,1.3,0.4,0.3,0.3,0.057,0,8.1,0,60,0.024,18.6,0.016,0,0.062,0.047,0.05,0.3,1.9,0.5,0.048,0,0.022,0.089,0.038,1.4,0.2,1.8,5.9,0.03,71.9,62,0.015,9.714,
427,turkey liver cooked,100,4.3,1.2,0.6,1.1,0,0,14.3,0,343.4,0.083,33.9,5.7,0.1,0.4,0.096,1.4,5.9,2.3,0.5,12,0,0.083,0.068,10.1,0.6,0.9,13.8,0.2,165.4,81.1,0.022,2.4,47.3,
